,artist,number,title,year
2981,Aerosmith,81,Love in an Elevator,1989
2982,Bon Jovi,82,Lay Your Hands on Me,1989
2983,When in Rome,83,The Promise,1989
2984,Edie Brickell & New Bohemians,84,What I Am,1989
2985,Boys Club,85,I Remember Holding You,1989
2986,Guns N' Roses,86,Paradise City,1989
2987,Samantha Fox,87,I Wanna Have Some Fun,1989
2988,Rick Astley,88,She Wants to Dance with Me,1989
2989,Vanessa Williams,89,Dreamin',1989
2990,Babyface,90,It's No Crime,1989
2991,Alice Cooper,91,Poison,1989
2992,Donna Summer,92,This Time I Know It's for Real,1989
2993,Michael Jackson,93,Smooth Criminal,1989
2994,Deon Estus,94,Heaven Help Me,1989
2995,Bobby Brown,95,Rock Wit'cha,1989
2996,Sa-Fire,96,Thinking of You,1989
2997,Exposé,97,What You Don't Know,1989
2998,Ann Wilson and Robin Zander,98,Surrender To Me,1989
2999,Don Henley,99,The End of the Innocence,1989
3000,Soul II Soul,100,Keep on Movin',1989
3001,Wilson Phillips,1,Hold On,1990
3002,Roxette,2,It Must Have Been Love,1990
3003,Sinéad O'Connor,3,Nothing Compares 2 U,1990
3004,Bell Biv DeVoe,4,Poison,1990
3005,Madonna,5,Vogue,1990
3006,Mariah Carey,6,Vision of Love,1990
3007,Phil Collins,7,Another Day in Paradise,1990
3008,En Vogue,8,Hold On,1990
3009,Billy Idol,9,Cradle of Love,1990
3010,Jon Bon Jovi,10,Blaze of Glory,1990
3011,Bell Biv DeVoe,11,Do Me!,1990
3012,Michael Bolton,12,How Am I Supposed to Live Without You,1990
3013,Technotronic,13,Pump Up the Jam,1990
3014,Paula Abdul and The Wild Pair,14,Opposites Attract,1990
3015,Janet Jackson,15,Escapade,1990
3016,Heart,16,All I Wanna Do Is Make Love to You,1990
3017,Maxi Priest,17,Close to You,1990
3018,Alannah Myles,18,Black Velvet,1990
3019,Wilson Phillips,19,Release Me,1990
3020,Linda Ronstadt and Aaron Neville,20,Don't Know Much,1990
3021,Lisa Stansfield,21,All Around the World,1990
3022,Calloway,22,I Wanna Be Rich,1990
3023,Johnny Gill,23,Rub You the Right Way,1990
3024,Glenn Medeiros and Bobby Brown,24,She Ain't Worth It,1990
3025,Sweet Sensation,25,If Wishes Came True,1990
3026,Snap!,26,The Power,1990
3027,Nelson,27,(Can't Live Without Your) Love and Affection,1990
3028,Taylor Dayne,28,Love Will Lead You Back,1990
3029,Jane Child,29,Don't Wanna Fall in Love,1990
3030,Seduction,30,Two to Make It Right,1990
3031,Linear,31,Sending All My Love,1990
3032,Poison,32,Unskinny Bop,1990
3033,New Kids on the Block,33,Step by Step,1990
3034,Roxette,34,Dangerous,1990
3035,Billy Joel,35,We Didn't Start the Fire,1990
3036,James Ingram,36,I Don't Have the Heart,1990
3037,Rod Stewart,37,Downtown Train,1990
3038,Janet Jackson,38,Rhythm Nation,1990
3039,Tommy Page,39,I'll Be Your Everything,1990
3040,The B-52s,40,Roam,1990
3041,Jody Watley,41,Everything,1990
3042,Soul II Soul featuring Caron Wheeler,42,Back to Life (However Do You Want Me),1990
3043,Luther Vandross,43,Here and Now,1990
3044,Janet Jackson,44,Alright,1990
3045,Vanilla Ice,45,Ice Ice Baby,1990
3046,Milli Vanilli,46,Blame It on the Rain,1990
3047,MC Hammer,47,Have You Seen Her,1990
3048,Taylor Dayne,48,With Every Beat of My Heart,1990
3049,Janet Jackson,49,Come Back to Me,1990
3050,Michel'le,50,No More Lies,1990
3051,George Michael,51,Praying for Time,1990
3052,Michael Bolton,52,How Can We Be Lovers,1990
3053,Phil Collins,53,Do You Remember,1990
3054,After 7,54,Ready or Not,1990
3055,MC Hammer,55,U Can't Touch This,1990
3056,Phil Collins,56,I Wish It Would Rain Down,1990
3057,Lou Gramm,57,Just Between You and Me,1990
3058,Phil Collins,58,Something Happened on the Way to Heaven,1990
3059,Janet Jackson,59,Black Cat,1990
3060,After 7,60,Can't Stop,1990
3061,Aerosmith,61,Janie's Got a Gun,1990
3062,Digital Underground,62,The Humpty Dance,1990
3063,Taylor Dayne,63,I'll Be Your Shelter,1990
3064,Tom Petty,64,Free Fallin',1990
3065,Pebbles,65,Giving You the Benefit,1990
3066,Depeche Mode,66,Enjoy the Silence,1990
3067,Tesla,67,Love Song,1990
3068,Bad English,68,Price of Love,1990
3069,Tyler Collins,69,Girls Nite Out,1990
3070,Go West,70,King of Wishful Thinking,1990
3071,Chicago,71,What Kind of Man Would I Be?,1990
3072,Skid Row,72,I Remember You,1990
3073,Technotronic featuring Ya Kid K,73,Get Up! (Before the Night Is Over),1990
3074,Gloria Estefan,74,Here We Are,1990
3075,Faith No More,75,Epic,1990
3076,Mariah Carey,76,Love Takes Time,1990
3077,Cher,77,Just Like Jesse James,1990
3078,The B-52s,78,Love Shack,1990
3079,Milli Vanilli,79,All or Nothing,1990
3080,Dino,80,Romeo,1990
3081,Black Box,81,Everybody Everybody,1990
3082,Billy Joel,82,I Go to Extremes,1990
3083,Babyface,83,Whip Appeal,1990
3084,Paul Young,84,Oh Girl,1990
3085,D Mob featuring Cathy Dennis,85,C'mon and Get My Love,1990
3086,Paula Abdul,86,(It's Just) The Way That You Love Me,1990
3087,The Cover Girls,87,We Can't Go Wrong,1990
3088,Michael Bolton,88,When I'm Back on My Feet Again,1990
3089,Keith Sweat,89,Make You Sweat,1990
3090,New Kids on the Block,90,This One's for the Children,1990
3091,Aerosmith,91,What It Takes,1990
3092,Kiss,92,Forever,1990
3093,The Time,93,Jerk Out,1990
3094,Biz Markie,94,Just a Friend,1990
3095,A'Me Lorain,95,Whole Wide World,1990
3096,Mötley Crüe,96,Without You,1990
3097,Jive Bunny and the Mastermixers,97,Swing the Mood,1990
3098,Prince,98,Thieves in the Temple,1990
3099,Mellow Man Ace,99,Mentirosa,1990
3100,Kyper,100,Tic-Tac-Toe,1990
3101,Bryan Adams,1,(Everything I Do) I Do It for You,1991
3102,Color Me Badd,2,I Wanna Sex You Up,1991
3103,C+C Music Factory,3,Gonna Make You Sweat (Everybody Dance Now),1991
3104,Paula Abdul,4,Rush Rush,1991
3105,Timmy T,5,One More Try,1991
3106,EMF,6,Unbelievable,1991
3107,Extreme,7,More Than Words,1991
3108,Hi-Five,8,I Like the Way (The Kissing Game),1991
3109,Surface,9,The First Time,1991
3110,Amy Grant,10,Baby Baby,1991
3111,Boyz II Men,11,Motownphilly,1991
3112,Stevie B,12,Because I Love You (The Postman Song),1991
3113,Mariah Carey,13,Someday,1991
3114,Damn Yankees,14,High Enough,1991
3115,Bette Midler,15,From a Distance,1991
3116,Whitney Houston,16,All the Man That I Need,1991
3117,Jesus Jones,17,"Right Here, Right Now",1991
3118,Color Me Badd,18,I Adore Mi Amor,1991
3119,Janet Jackson,19,Love Will Never Do (Without You),1991
3120,Marky Mark and the Funky Bunch featuring Loleatta Holloway,20,Good Vibrations,1991
3121,Madonna,21,Justify My Love,1991
3122,Mariah Carey,22,Emotions,1991
3123,Roxette,23,Joyride,1991
3124,Karyn White,24,Romantic,1991
3125,Tara Kemp,25,Hold You Tight,1991
3126,Mariah Carey,26,I Don't Wanna Cry,1991
3127,Wilson Phillips,27,You're in Love,1991
3128,Amy Grant,28,Every Heartbeat,1991
3129,Ralph Tresvant,29,Sensitivity,1991
3130,Cathy Dennis,30,Touch Me (All Night Long),1991
3131,Londonbeat,31,I've Been Thinking About You,1991
3132,Natural Selection,32,Do Anything,1991
3133,R.E.M.,33,Losing My Religion,1991
3134,Gloria Estefan,34,Coming Out of the Dark,1991
3135,Lenny Kravitz,35,It Ain't Over 'til It's Over,1991
3136,C+C Music Factory,36,Here We Go,1991
3137,Celine Dion,37,Where Does My Heart Beat Now,1991
3138,DJ Jazzy Jeff & The Fresh Prince,38,Summertime,1991
3139,Scorpions,39,Wind of Change,1991
3140,Rythm Syndicate,40,P.A.S.S.I.O.N.,1991
3141,Paula Abdul,41,The Promise of a New Day,1991
3142,Whitney Houston,42,I'm Your Baby Tonight,1991
3143,FireHouse,43,Love of a Lifetime,1991
3144,Roxette,44,Fading Like a Flower (Every Time You Leave),1991
3145,Tracie Spencer,45,This House,1991
3146,Extreme,46,Hole Hearted,1991
3147,Luther Vandross,47,Power of Love/Love Power,1991
3148,Wilson Phillips,48,Impulsive,1991
3149,Michael Bolton,49,Love Is a Wonderful Thing,1991
3150,Rod Stewart,50,Rhythm of My Heart,1991
3151,C+C Music Factory,51,Things That Make You Go Hmmm...,1991
3152,Divinyls,52,I Touch Myself,1991
3153,DNA featuring Suzanne Vega,53,Tom's Diner,1991
3154,Another Bad Creation,54,Iesha,1991
3155,Bonnie Raitt,55,Something to Talk About,1991
3156,Nelson,56,After the Rain,1991
3157,Vanilla Ice,57,Play That Funky Music,1991
3158,Corina,58,Temptation,1991
3159,Bryan Adams,59,Can't Stop This Thing We Started,1991
3160,Hi-Five,60,I Can't Wait Another Minute,1991
3161,The KLF,61,3 a.m. Eternal,1991
3162,Michael Bolton,62,"Time, Love and Tenderness",1991
3163,Enigma,63,Sadeness (Part I),1991
3164,LL Cool J,64,Around the Way Girl,1991
3165,The Escape Club,65,I'll Be There,1991
3166,Prince and The New Power Generation,66,Cream,1991
3167,Heavy D & the Boyz,67,Now That We Found Love,1991
3168,Styx,68,Show Me the Way,1991
3169,Mariah Carey,69,Love Takes Time,1991
3170,Rick Astley,70,Cry for Help,1991
3171,UB40,71,The Way You Do the Things You Do,1991
3172,UB40,72,Here I Am (Come and Take Me),1991
3173,Tesla,73,Signs,1991
3174,Cathy Dennis,74,Too Many Walls,1991
3175,Seal,75,Crazy,1991
3176,Keith Sweat,76,I'll Give All My Love to You,1991
3177,Michael W. Smith,77,Place in this World,1991
3178,Poison,78,Something to Believe In,1991
3179,Chris Isaak,79,Wicked Game,1991
3180,Oleta Adams,80,Get Here,1991
3181,Tevin Campbell,81,Round and Round,1991
3182,Queensrÿche,82,Silent Lucidity,1991
3183,Will to Power,83,I'm Not In Love,1991
3184,Tara Kemp,84,Piece of My Heart,1991
3185,Jesus Jones,85,Real Real Real,1991
3186,Aaron Neville,86,Everybody Plays the Fool,1991
3187,Cathy Dennis,87,Just Another Dream,1991
3188,Black Box,88,Strike It Up,1991
3189,Gerardo,89,Rico Suave,1991
3190,INXS,90,Disappear,1991
3191,Deee-Lite,91,Groove Is in the Heart,1991
3192,Sting,92,All This Time,1991
3193,Chesney Hawkes,93,The One and Only,1991
3194,Naughty by Nature,94,O.P.P.,1991
3195,George Michael,95,Freedom 90,1991
3196,Warrant,96,I Saw Red,1991
3197,Winger,97,Miles Away,1991
3198,Salt-n-Pepa,98,Do You Want Me,1991
3199,Rod Stewart,99,The Motown Song,1991
3200,R.E.M.,100,Shiny Happy People,1991
3201,Boyz II Men,1,End of the Road,1992
3202,Sir Mix-a-Lot,2,Baby Got Back,1992
3203,Kris Kross,3,Jump,1992
3204,Vanessa Williams,4,Save the Best for Last,1992
3205,TLC,5,Baby-Baby-Baby,1992
3206,Eric Clapton,6,Tears in Heaven,1992
3207,En Vogue,7,My Lovin' (You're Never Gonna Get It),1992
3208,Red Hot Chili Peppers,8,Under the Bridge,1992
3209,Color Me Badd,9,All 4 Love,1992
3210,Jon Secada,10,Just Another Day,1992
3211,Shanice,11,I Love Your Smile,1992
3212,Mr. Big,12,To Be with You,1992
3213,Right Said Fred,13,I'm Too Sexy,1992
3214,Michael Jackson,14,Black or White,1992
3215,Billy Ray Cyrus,15,Achy Breaky Heart,1992
3216,Mariah Carey,16,I'll Be There,1992
3217,Guns N' Roses,17,November Rain,1992
3218,Tom Cochrane,18,Life Is a Highway,1992
3219,Michael Jackson,19,Remember the Time,1992
3220,CeCe Peniston,20,Finally,1992
3221,Madonna,21,This Used to Be My Playground,1992
3222,Patty Smyth and Don Henley,22,Sometimes Love Just Ain't Enough,1992
3223,Mariah Carey,23,Can't Let Go,1992
3224,House of Pain,24,Jump Around,1992
3225,Prince and The New Power Generation,25,Diamonds and Pearls,1992
3226,George Michael and Elton John,26,Don't Let the Sun Go Down on Me,1992
3227,Atlantic Starr,27,Masterpiece,1992
3228,Celine Dion,28,If You Asked Me To,1992
3229,En Vogue,29,Giving Him Something He Can Feel,1992
3230,Joe Public,30,Live and Learn,1992
3231,Jodeci,31,Come and Talk to Me,1992
3232,Nirvana,32,Smells Like Teen Spirit,1992
3233,Bobby Brown,33,Humpin' Around,1992
3234,Sophie B. Hawkins,34,Damn I Wish I Was Your Lover,1992
3235,Tevin Campbell,35,Tell Me What You Want Me to Do,1992
3236,TLC,36,Ain't 2 Proud 2 Beg,1992
3237,Boyz II Men,37,It's So Hard to Say Goodbye to Yesterday,1992
3238,Technotronic featuring Ya Kid K,38,Move This,1992
3239,Queen,39,Bohemian Rhapsody,1992
3240,Arrested Development,40,Tennessee,1992
3241,Luther Vandross and Janet Jackson,41,The Best Things in Life Are Free,1992
3242,Mariah Carey,42,Make It Happen,1992
3243,Elton John,43,The One,1992
3244,P.M. Dawn,44,Set Adrift on Memory Bliss,1992
3245,Shakespears Sister,45,Stay,1992
3246,Hammer,46,2 Legit 2 Quit,1992
3247,KWS,47,Please Don't Go,1992
3248,Mint Condition,48,Breakin' My Heart (Pretty Brown Eyes),1992
3249,The Cover Girls,49,Wishing on a Star,1992
3250,Hi-Five,50,She's Playing Hard to Get,1992
3251,P.M. Dawn,51,I'd Die Without You,1992
3252,Amy Grant,52,Good for Me,1992
3253,Toad the Wet Sprocket,53,All I Want,1992
3254,Michael Bolton,54,When a Man Loves a Woman,1992
3255,Genesis,55,I Can't Dance,1992
3256,Richard Marx,56,Hazard,1992
3257,U2,57,Mysterious Ways,1992
3258,George Michael,58,Too Funky,1992
3259,The Heights,59,How Do You Talk to an Angel,1992
3260,U2,60,One,1992
3261,CeCe Peniston,61,Keep on Walkin',1992
3262,Genesis,62,Hold on My Heart,1992
3263,Karyn White,63,The Way I Feel About You,1992
3264,Celine Dion and Peabo Bryson,64,Beauty and the Beast,1992
3265,Kris Kross,65,Warm It Up,1992
3266,Michael Jackson,66,In the Closet,1992
3267,Arrested Development,67,People Everyday,1992
3268,Genesis,68,No Son of Mine,1992
3269,Marky Mark and the Funky Bunch,69,Wildside,1992
3270,Bryan Adams,70,Do I Have to Say the Words?,1992
3271,The Cure,71,Friday I'm in Love,1992
3272,Ugly Kid Joe,72,Everything About You,1992
3273,Paula Abdul,73,Blowing Kisses in the Wind,1992
3274,Bryan Adams,74,Thought I'd Died and Gone to Heaven,1992
3275,Snap!,75,Rhythm Is a Dancer,1992
3276,Hammer,76,Addams Groove,1992
3277,Michael Bolton,77,Missing You Now,1992
3278,N2Deep,78,Back to the Hotel,1992
3279,Kathy Troccoli,79,Everything Changes,1992
3280,Def Leppard,80,Have You Ever Needed Someone So Bad,1992
3281,Richard Marx,81,Take This Heart,1992
3282,FireHouse,82,When I Look Into Your Eyes,1992
3283,Jade,83,I Wanna Love You,1992
3284,Boyz II Men,84,Uhh Ahh,1992
3285,Mary J. Blige,85,Real Love,1992
3286,The KLF,86,Justified and Ancient,1992
3287,Color Me Badd,87,Slow Motion,1992
3288,TLC,88,What About Your Friends,1992
3289,Color Me Badd,89,Thinkin' Back,1992
3290,Charles & Eddie,90,Would I Lie to You?,1992
3291,Amy Grant,91,That's What Love Is For,1992
3292,Richard Marx,92,Keep Coming Back,1992
3293,En Vogue,93,Free Your Mind,1992
3294,Keith Sweat,94,Keep It Comin',1992
3295,Mr. Big,95,Just Take My Heart,1992
3296,Amy Grant,96,I Will Remember You,1992
3297,CeCe Peniston,97,We Got a Love Thang,1992
3298,Def Leppard,98,Let's Get Rocked,1992
3299,Das EFX,99,They Want EFX,1992
3300,Bonnie Raitt,100,I Can't Make You Love Me,1992
3301,Whitney Houston,1,I Will Always Love You,1993
3302,Tag Team,2,Whoomp! (There It Is),1993
3303,UB40,3,Can't Help Falling in Love,1993
3304,Janet Jackson,4,That's the Way Love Goes,1993
3305,Silk,5,Freak Me,1993
3306,SWV,6,Weak,1993
3307,Shai,7,If I Ever Fall in Love,1993
3308,Mariah Carey,8,Dreamlover,1993
3309,Wreckx-n-Effect,9,Rump Shaker,1993
3310,Snow,10,Informer,1993
3311,Dr. Dre,11,Nuthin' but a 'G' Thang,1993
3312,Boyz II Men,12,In the Still of the Nite,1993
3313,Jade,13,Don't Walk Away,1993
3314,H-Town,14,Knockin' da Boots,1993
3315,Jodeci,15,Lately,1993
3316,Duice,16,Dazzey Duks,1993
3317,Robin S.,17,Show Me Love,1993
3318,Peabo Bryson and Regina Belle,18,A Whole New World,1993
3319,Janet Jackson,19,If,1993
3320,SWV,20,I'm So Into You,1993
3321,Vanessa Williams and Brian McKnight,21,Love Is,1993
3322,Soul Asylum,22,Runaway Train,1993
3323,Exposé,23,I'll Never Get Over You (Getting Over Me),1993
3324,Paperboy,24,Ditty,1993
3325,Snap!,25,Rhythm Is a Dancer,1993
3326,Billy Joel,26,The River of Dreams,1993
3327,The Proclaimers,27,I'm Gonna Be (500 Miles),1993
3328,Spin Doctors,28,Two Princes,1993
3329,SWV,29,Right Here,1993
3330,Whitney Houston,30,I Have Nothing,1993
3331,Arrested Development,31,Mr. Wendal,1993
3332,Rod Stewart,32,Have I Told You Lately,1993
3333,Shanice,33,Saving Forever for You,1993
3334,Duran Duran,34,Ordinary World,1993
3335,Tony! Toni! Toné!,35,If I Had No Loot,1993
3336,Meat Loaf,36,I'd Do Anything for Love (But I Won't Do That),1993
3337,Onyx,37,Slam,1993
3338,P.M. Dawn,38,Looking Through Patient Eyes,1993
3339,Whitney Houston,39,I'm Every Woman,1993
3340,Shai,40,Baby I'm Yours,1993
3341,Duran Duran,41,Come Undone,1993
3342,Tina Turner,42,I Don't Wanna Fight,1993
3343,P.M. Dawn,43,I'd Die Without You,1993
3344,95 South,44,"Whoot, There It Is",1993
3345,Naughty by Nature,45,Hip Hop Hooray,1993
3346,Toni Braxton,46,Another Sad Love Song,1993
3347,Michael Jackson,47,Will You Be There,1993
3348,Shai,48,Comforter,1993
3349,Bobby Brown,49,Good Enough,1993
3350,4 Non Blondes,50,What's up,1993
3351,Ace of Base,51,All That She Wants,1993
3352,Prince and The New Power Generation,52,7,1993
3353,Dr. Dre featuring Snoop Doggy Dogg,53,Dre Day,1993
3354,Brian McKnight,54,One Last Cry,1993
3355,Xscape,55,Just Kickin' It,1993
3356,2Pac,56,I Get Around,1993
3357,Bon Jovi,57,Bed of Roses,1993
3358,Mary J. Blige,58,Real Love,1993
3359,Portrait,59,Here We Go Again!,1993
3360,Aerosmith,60,Cryin',1993
3361,Ugly Kid Joe,61,Cat's in the Cradle,1993
3362,TLC,62,What About Your Friends,1993
3363,Positive K,63,I Got a Man,1993
3364,Zhané,64,Hey Mr. D.J.,1993
3365,Cypress Hill,65,Insane in the Brain,1993
3366,Madonna,66,Deeper and Deeper,1993
3367,Madonna,67,Rain,1993
3368,Jeremy Jordan,68,The Right Kind of Love,1993
3369,Inner Circle,69,"Bad Boys"" (theme from Cops)",1993
3370,Boy Krazy,70,That's What Love Can Do,1993
3371,Jon Secada,71,Do You Believe in Us,1993
3372,Jon Secada,72,Angel,1993
3373,Kenny G,73,Forever in Love,1993
3374,Janet Jackson,74,Again,1993
3375,DJ Jazzy Jeff & The Fresh Prince,75,Boom! Shake the Room,1993
3376,Restless Heart,76,When She Cries,1993
3377,Inner Circle,77,Sweat (A La La La La Long),1993
3378,Ice Cube,78,It Was a Good Day,1993
3379,Captain Hollywood Project,79,More and More,1993
3380,The Heights,80,How Do You Talk to an Angel,1993
3381,Digable Planets,81,Rebirth of Slick (Cool Like Dat),1993
3382,Haddaway,82,What Is Love,1993
3383,Michael Bolton,83,To Love Somebody,1993
3384,En Vogue,84,"Give It Up, Turn It Loose",1993
3385,Kris Kross,85,Alright,1993
3386,Ice Cube featuring Das EFX,86,Check Yo Self,1993
3387,Sting,87,Fields of Gold,1993
3388,Dino,88,Ooh Child,1993
3389,Go West,89,Faithful,1993
3390,Rod Stewart,90,Reason to Believe,1993
3391,Tears for Fears,91,Break It Down Again,1993
3392,Joey Lawrence,92,Nothin' My Love Can't Fix,1993
3393,Green Jellÿ,93,Three Little Pigs,1993
3394,Aerosmith,94,Livin' on the Edge,1993
3395,Gin Blossoms,95,Hey Jealousy,1993
3396,Sting,96,If I Ever Lose My Faith in You,1993
3397,Tony! Toni! Tone!,97,Anniversary,1993
3398,Jade,98,One Woman,1993
3399,Taylor Dayne,99,Can't Get Enough of Your Love,1993
3400,Def Leppard,100,Two Steps Behind,1993
3401,Ace of Base,1,The Sign,1994
3402,All-4-One,2,I Swear,1994
3403,Boyz II Men,3,I'll Make Love to You,1994
3404,Céline Dion,4,The Power of Love,1994
3405,Mariah Carey,5,Hero,1994
3406,Lisa Loeb and Nine Stories,6,Stay (I Missed You),1994
3407,Toni Braxton,7,Breathe Again,1994
3408,"Bryan Adams, Rod Stewart and Sting",8,All for Love,1994
3409,Ace of Base,9,All That She Wants,1994
3410,Ace of Base,10,Don't Turn Around,1994
3411,R. Kelly,11,Bump n' Grind,1994
3412,Janet Jackson,12,Again,1994
3413,Madonna,13,I'll Remember,1994
3414,Salt-n-Pepa and En Vogue,14,Whatta Man,1994
3415,John Mellencamp featuring Meshell Ndegeocello,15,Wild Night,1994
3416,Mariah Carey,16,"Without You"" / ""Never Forget You",1994
3417,Toni Braxton,17,You Mean the World to Me,1994
3418,Elton John,18,Can You Feel the Love Tonight,1994
3419,Prince,19,The Most Beautiful Girl in the World,1994
3420,Coolio,20,Fantastic Voyage,1994
3421,Big Mountain,21,"Baby, I Love Your Way",1994
3422,Warren G featuring Nate Dogg,22,Regulate,1994
3423,Jon Secada,23,If You Go,1994
3424,Aaliyah,24,Back & Forth,1994
3425,Richard Marx,25,Now and Forever,1994
3426,Babyface,26,When Can I See You,1994
3427,Bryan Adams,27,Please Forgive Me,1994
3428,All-4-One,28,So Much in Love,1994
3429,Salt-n-Pepa,29,Shoop,1994
3430,Janet Jackson,30,"Any Time, Any Place",1994
3431,Collective Soul,31,Shine,1994
3432,Michael Bolton,32,Said I Loved You...But I Lied,1994
3433,Enigma,33,Return to Innocence,1994
3434,Sheryl Crow,34,All I Wanna Do,1994
3435,Crash Test Dummies,35,Mmm Mmm Mmm Mmm,1994
3436,Tevin Campbell,36,Can We Talk,1994
3437,Da Brat,37,Funkdafied,1994
3438,Meat Loaf,38,I'd Do Anything for Love (But I Won't Do That),1994
3439,DRS,39,Gangsta Lean,1994
3440,"10,000 Maniacs",40,Because the Night,1994
3441,Us3,41,Cantaloop (Flip Fantasia),1994
3442,Tag Team,42,Whoomp! (There It Is),1994
3443,Melissa Etheridge,43,Come to My Window,1994
3444,Changing Faces,44,Stroke You Up,1994
3445,Tevin Campbell,45,I'm Ready,1994
3446,Crystal Waters,46,100% Pure Love,1994
3447,Mariah Carey,47,Anytime You Need a Friend,1994
3448,Janet Jackson,48,Because of Love,1994
3449,The Cranberries,49,Linger,1994
3450,Beck,50,Loser,1994
3451,Gin Blossoms,51,Found Out About You,1994
3452,Snoop Doggy Dogg,52,Gin and Juice,1994
3453,Immature,53,Never Lie,1994
3454,Bruce Springsteen,54,Streets of Philadelphia,1994
3455,Domino,55,Getto Jam,1994
3456,Luther Vandross and Mariah Carey,56,Endless Love,1994
3457,Aaron Hall,57,I Miss You,1994
3458,Xscape,58,Understanding,1994
3459,Warren G,59,This D.J.,1994
3460,Jodeci,60,Cry for You,1994
3461,2Pac,61,Keep Ya Head Up,1994
3462,Snoop Doggy Dogg,62,What's My Name?,1994
3463,Real McCoy,63,Another Night,1994
3464,R. Kelly,64,Your Body's Callin',1994
3465,69 Boyz,65,Tootsee Roll,1994
3466,Jimmy Cliff,66,I Can See Clearly Now,1994
3467,Babyface,67,Never Keeping Secrets,1994
3468,Aerosmith,68,Crazy,1994
3469,Xscape,69,Just Kickin' It,1994
3470,Aaliyah,70,(At Your Best) You Are Love,1994
3471,Meat Loaf,71,Rock and Roll Dreams Come Through,1994
3472,Aerosmith,72,Amazing,1994
3473,Erasure,73,Always,1994
3474,Zhané,74,Groove Thang,1994
3475,Gabrielle,75,Dreams,1994
3476,Culture Beat,76,Mr. Vain,1994
3477,Tom Petty and the Heartbreakers,77,Mary Jane's Last Dance,1994
3478,SWV,78,Anything,1994
3479,Joshua Kadison,79,Beautiful in My Eyes,1994
3480,Eternal,80,Stay,1994
3481,Craig Mack,81,Flava in Ya Ear,1994
3482,Queen Latifah,82,U.N.I.T.Y.,1994
3483,Seal,83,Prayer for the Dying,1994
3484,Madonna,84,Secret,1994
3485,Ini Kamoze,85,Here Comes the Hotstepper,1994
3486,Phil Collins,86,Everyday,1994
3487,Tim McGraw,87,Don't Take the Girl,1994
3488,Heavy D & the Boyz,88,Got Me Waiting,1994
3489,The Four Seasons,89,"December, 1963 (Oh, What a Night)",1994
3490,Tim McGraw,90,Indian Outlaw,1994
3491,Bon Jovi,91,Always,1994
3492,Melissa Etheridge,92,I'm the Only One,1994
3493,Ahmad,93,Back in the Day,1994
3494,Bonnie Raitt,94,Love Sneakin' Up On You,1994
3495,General Public,95,I'll Take You There,1994
3496,Tevin Campbell,96,Always in My Heart,1994
3497,Haddaway,97,What Is Love,1994
3498,Babyface,98,And Our Feelings,1994
3499,Ice Cube featuring George Clinton,99,Bop Gun (One Nation),1994
3500,Brandy,100,I Wanna Be Down,1994
3501,Coolio featuring L.V.,1,Gangsta's Paradise,1995
3502,TLC,2,Waterfalls,1995
3503,TLC,3,Creep,1995
3504,Seal,4,Kiss from a Rose,1995
3505,Boyz II Men,5,On Bended Knee,1995
3506,Real McCoy,6,Another Night,1995
3507,Mariah Carey,7,Fantasy,1995
3508,Madonna,8,Take a Bow,1995
3509,Monica,9,Don't Take It Personal (Just One of Dem Days),1995
3510,Montell Jordan,10,This Is How We Do It,1995
3511,Dionne Farris,11,I Know,1995
3512,Boyz II Men,12,Water Runs Dry,1995
3513,Adina Howard,13,Freak Like Me,1995
3514,Blues Traveler,14,Run-Around,1995
3515,All-4-One,15,I Can Love You Like That,1995
3516,Bryan Adams,16,Have You Ever Really Loved a Woman?,1995
3517,Bon Jovi,17,Always,1995
3518,Shaggy,18,Boombastic,1995
3519,Nicki French,19,Total Eclipse of the Heart,1995
3520,Des'ree,20,You Gotta Be,1995
3521,Michael Jackson,21,You Are Not Alone,1995
3522,Hootie & the Blowfish,22,Hold My Hand,1995
3523,The Notorious B.I.G.,23,One More Chance,1995
3524,Ini Kamoze,24,Here Comes the Hotstepper,1995
3525,Soul for Real,25,Candy Rain,1995
3526,Hootie & the Blowfish,26,Let Her Cry,1995
3527,Blessid Union of Souls,27,I Believe,1995
3528,TLC,28,Red Light Special,1995
3529,Janet Jackson,29,Runaway,1995
3530,Sheryl Crow,30,Strong Enough,1995
3531,Vanessa Williams,31,Colors of the Wind,1995
3532,Jon B.,32,Someone to Love,1995
3533,Hootie & the Blowfish,33,Only Wanna Be with You,1995
3534,Brownstone,34,If You Love Me,1995
3535,Martin Page,35,In the House of Stone and Light,1995
3536,Luniz,36,I Got 5 on It,1995
3537,Brandy,37,Baby,1995
3538,Real McCoy,38,Run Away,1995
3539,Sophie B. Hawkins,39,As I Lay Me Down,1995
3540,Mokenstef,40,He's Mine,1995
3541,Collective Soul,41,December,1995
3542,Method Man featuring Mary J. Blige,42,I'll Be There for You/You're All I Need to Get By,1995
3543,Diana King,43,Shy Guy,1995
3544,Melissa Etheridge,44,I'm the Only One,1995
3545,Soul for Real,45,Every Little Thing I Do,1995
3546,Blackstreet,46,Before I Let You Go,1995
3547,The Notorious B.I.G.,47,Big Poppa,1995
3548,4 P.M.,48,Sukiyaki,1995
3549,Brandy,49,I Wanna Be Down,1995
3550,Boyz II Men,50,I'll Make Love to You,1995
3551,2Pac,51,Dear Mama,1995
3552,Jamie Walters,52,Hold On,1995
